DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-08,1
ANTIOQUIA,BELLO,50880,MOTOCICLETA,2010-01-08,1
VALLE,ROLDANILLO,76622,MOTOCICLETA,2010-01-08,1
ATLANTICO,BARRANQUILLA (CT),80010,MOTOCICLETA,2010-01-08,1
META,GRANADA,50313,MOTOCICLETA,2010-01-08,1
SUCRE,SINCELEJO (CT),70001,MOTOCICLETA,2010-01-08,1
BOGOTA,BOGOTA D.C. (CT),11001,MOTOCICLETA,2010-01-08,1
QUINDIO,LA TEBAIDA,63401,MOTOCICLETA,2010-01-08,1
CAQUETA,FLORENCIA (CT),18001,MOTOCICLETA,2010-01-08,1
CESAR,CURUMANI,20228,MOTOCICLETA,2010-01-08,1
RISARALDA,PEREIRA (CT),66001,MOTOCICLETA,2010-01-08,1
BOLIVAR,EL CARMEN DE BOLIVAR,13244,MOTOCICLETA,2010-01-08,1
NARINO,SAN ANDRES DE TUMACO,52835,MOTOCICLETA,2010-01-08,1
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-08,1
CUNDINAMARCA,MOSQUERA,25473,MOTOCICLETA,2010-01-08,1
ANTIOQUIA,APARTADO,50450,MOTOCICLETA,2010-01-08,1
ANTIOQUIA,MEDELLIN (CT),50010,CAMIONETA,2010-01-08,1
BOGOTA,BOGOTA D.C. (CT),11001,CAMIONETA,2010-01-08,1
ANTIOQUIA,MEDELLIN (CT),50010,TAXI,2010-01-08,1
BOGOTA,BOGOTA D.C. (CT),11001,AUTOMOVIL,2010-01-08,1
BOLIVAR,MARIA LA BAJA,13442,AUTOMOVIL,2010-01-08,1
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-08,1
CUNDINAMARCA,FUNZA,25286,CAMIONETA,2010-01-08,1
RISARALDA,PEREIRA (CT),66001,AUTOMOVIL,2010-01-08,1
SANTANDER,BUCARAMANGA (CT),68001,AUTOMOVIL,2010-01-08,1
ANTIOQUIA,BELLO,50880,TRACTOMULA,2010-01-08,1
CAQUETA,FLORENCIA (CT),18001,AUTOMOVIL,2010-01-08,1
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-08,1
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-09,1
SAN ANDRES,SAN ANDRES (CT),88001,MOTOCICLETA,2010-01-09,1
CUNDINAMARCA,SOACHA,25754,MOTOCICLETA,2010-01-09,1
CORDOBA,TIERRALTA,23807,MOTOCICLETA,2010-01-09,1
CORDOBA,CERETE,23162,MOTOCICLETA,2010-01-09,1
BOYACA,PUERTO BOYACA,15572,MOTOCICLETA,2010-01-09,1
CAUCA,PAEZ,19517,MOTOCICLETA,2010-01-09,1
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-09,1
ANTIOQUIA,BELLO,50880,MOTOCICLETA,2010-01-09,1
BOGOTA,BOGOTA D.C. (CT),11001,MOTOCICLETA,2010-01-09,1
GUAJIRA,MAICAO,44430,MOTOCICLETA,2010-01-09,1
CAUCA,SANTANDER DE QUILICHAO,19698,MOTOCICLETA,2010-01-09,1
ATLANTICO,MALAMBO,84330,MOTOCICLETA,2010-01-09,1
ANTIOQUIA,SAN PEDRO DE URABA,56650,MOTOCICLETA,2010-01-09,1
MAGDALENA,SANTA MARTA (CT),47001,MOTOCICLETA,2010-01-09,1
CORDOBA,SAHAGUN,23660,MOTOCICLETA,2010-01-09,1
ATLANTICO,BARRANQUILLA (CT),80010,MOTOCICLETA,2010-01-09,1
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-09,1
ANTIOQUIA,MEDELLIN (CT),50010,CAMION,2010-01-09,1
CAQUETA,FLORENCIA (CT),18001,CAMION,2010-01-09,1
ANTIOQUIA,MEDELLIN (CT),50010,TAXI,2010-01-09,1
MAGDALENA,SANTA MARTA (CT),47001,CAMPERO,2010-01-09,1
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-09,1
ATLANTICO,BARRANQUILLA (CT),80010,CAMION,2010-01-09,1
ATLANTICO,BARRANQUILLA (CT),80010,AUTOMOVIL,2010-01-09,1
NARINO,IPIALES,52356,AUTOMOVIL,2010-01-09,1
SANTANDER,SAN GIL,68679,AUTOMOVIL,2010-01-09,1
NORTE DE SANTANDER,CUCUTA (CT),54001,AUTOMOVIL,2010-01-09,1
CORDOBA,MONTERIA (CT),23001,CAMPERO,2010-01-09,1
MAGDALENA,SANTA MARTA (CT),47001,CAMIONETA,2010-01-09,1
META,VILLAVICENCIO (CT),50001,MOTOCICLETA,2010-01-10,1
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-10,1
VALLE,CALI (CT),76001,MOTO CARRO,2010-01-10,1
META,CUMARAL,50226,MOTOCICLETA,2010-01-10,1
ANTIOQUIA,NECOCLI,54900,MOTOCICLETA,2010-01-10,1
NARINO,SAN ANDRES DE TUMACO,52835,MOTOCICLETA,2010-01-10,1
NORTE DE SANTANDER,CONVENCION,54206,MOTOCICLETA,2010-01-10,1
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-10,1
BOLIVAR,CARTAGENA (CT),13001,MOTOCICLETA,2010-01-10,1
ANTIOQUIA,ITAGUI,53600,MOTOCICLETA,2010-01-10,1
ANTIOQUIA,BELLO,50880,MOTOCICLETA,2010-01-10,1
VALLE,CALI (CT),76001,CAMIONETA,2010-01-10,1
VALLE,CALI (CT),76001,CAMION,2010-01-10,1
BOGOTA,BOGOTA D.C. (CT),11001,CAMIONETA,2010-01-10,1
