AÑO,CODIGO_DANE_MUNICIPIO,DEPARTAMENTO,MUNICIPIO,TIPO_VEHICULO,VEHICULOS_REGISTRADOS,VEHICULOS_HURTADOS,VEHICULOS_RECUPERADOS
1936,08078,ATLANTICO,BARANOA,AUTOMOTOR,2.0,0.0,0.0
1936,19455,CAUCA,MIRANDA,MOTOCICLETA,1.0,0.0,0.0
1936,25290,CUNDINAMARCA,FUSAGASUGA,AUTOMOTOR,1.0,0.0,0.0
1936,50010,ANTIOQUIA,MEDELLIN,AUTOMOTOR,1.0,0.0,0.0
1936,50340,ANTIOQUIA,ANDES,AUTOMOTOR,1.0,0.0,0.0
1936,52660,ANTIOQUIA,ENVIGADO,AUTOMOTOR,1.0,0.0,0.0
1936,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,5.0,0.0,0.0
1936,68001,SANTANDER,BUCARAMANGA,AUTOMOTOR,2.0,0.0,0.0
1936,68081,SANTANDER,BARRANCABERMEJA,AUTOMOTOR,2.0,0.0,0.0
1936,70670,SUCRE,SAMPUES,MOTOCICLETA,2.0,0.0,0.0
1936,76111,VALLE DEL CAUCA,GUADALAJARA DE BUGA,AUTOMOTOR,1.0,0.0,0.0
1936,76275,VALLE DEL CAUCA,FLORIDA,AUTOMOTOR,1.0,0.0,0.0
1936,80780,ATLANTICO,BARANOA,AUTOMOTOR,2.0,0.0,0.0
1937,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,8.0,0.0,0.0
1937,18094,CAQUETA,BELEN DE LOS ANDAQUIES,AUTOMOTOR,1.0,0.0,0.0
1937,19807,CAUCA,TIMBIO,AUTOMOTOR,1.0,0.0,0.0
1937,25260,CUNDINAMARCA,EL ROSAL,AUTOMOTOR,1.0,0.0,0.0
1937,25736,CUNDINAMARCA,SESQUILE,AUTOMOTOR,1.0,0.0,0.0
1937,25799,CUNDINAMARCA,TENJO,AUTOMOTOR,1.0,0.0,0.0
1937,54261,NORTE DE SANTANDER,EL ZULIA,MOTOCICLETA,2.0,0.0,0.0
1937,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,8.0,0.0,0.0
1937,68001,SANTANDER,BUCARAMANGA,AUTOMOTOR,2.0,0.0,0.0
1938,05308,ANTIOQUIA,GIRARDOTA,AUTOMOTOR,1.0,0.0,0.0
1938,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,18.0,0.0,0.0
1938,15204,BOYACA,COMBITA,AUTOMOTOR,1.0,0.0,0.0
1938,17001,CALDAS,MANIZALES,AUTOMOTOR,1.0,0.0,0.0
1938,17380,CALDAS,LA DORADA,AUTOMOTOR,1.0,0.0,0.0
1938,18001,CAQUETA,FLORENCIA,AUTOMOTOR,1.0,0.0,0.0
1938,19807,CAUCA,TIMBIO,AUTOMOTOR,1.0,0.0,0.0
1938,53080,ANTIOQUIA,GIRARDOTA,AUTOMOTOR,1.0,0.0,0.0
1938,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,18.0,0.0,0.0
1938,68001,SANTANDER,BUCARAMANGA,AUTOMOTOR,1.0,0.0,0.0
1938,68081,SANTANDER,BARRANCABERMEJA,AUTOMOTOR,1.0,0.0,0.0
1938,70670,SUCRE,SAMPUES,MOTOCICLETA,1.0,0.0,0.0
1938,73001,TOLIMA,IBAGUE,AUTOMOTOR,1.0,0.0,0.0
1939,00000,ANTIOQUIA,MEDELLIN,AUTOMOTOR,4.0,0.0,0.0
1939,05001,ANTIOQUIA,MEDELLIN,AUTOMOTOR,4.0,0.0,0.0
1939,05088,ANTIOQUIA,BELLO,AUTOMOTOR,1.0,0.0,0.0
1939,05360,ANTIOQUIA,ITAGUI,AUTOMOTOR,1.0,0.0,0.0
1939,05615,ANTIOQUIA,RIONEGRO,AUTOMOTOR,1.0,0.0,0.0
1939,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,19.0,0.0,0.0
1939,08078,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1939,17001,CALDAS,MANIZALES,AUTOMOTOR,1.0,0.0,0.0
1939,17174,CALDAS,CHINCHINA,AUTOMOTOR,1.0,0.0,0.0
1939,17380,CALDAS,LA DORADA,AUTOMOTOR,1.0,0.0,0.0
1939,19807,CAUCA,TIMBIO,AUTOMOTOR,4.0,0.0,0.0
1939,25183,CUNDINAMARCA,CHOCONTA,AUTOMOTOR,1.0,0.0,0.0
1939,25260,CUNDINAMARCA,EL ROSAL,AUTOMOTOR,1.0,0.0,0.0
1939,25290,CUNDINAMARCA,FUSAGASUGA,AUTOMOTOR,2.0,0.0,0.0
1939,25736,CUNDINAMARCA,SESQUILE,AUTOMOTOR,1.0,0.0,0.0
1939,41298,HUILA,GARZON,AUTOMOTOR,1.0,0.0,0.0
1939,50010,ANTIOQUIA,MEDELLIN,AUTOMOTOR,4.0,0.0,0.0
1939,50880,ANTIOQUIA,BELLO,AUTOMOTOR,1.0,0.0,0.0
1939,53600,ANTIOQUIA,ITAGUI,AUTOMOTOR,1.0,0.0,0.0
1939,54518,NORTE DE SANTANDER,PAMPLONA,AUTOMOTOR,2.0,0.0,0.0
1939,56150,ANTIOQUIA,RIONEGRO,AUTOMOTOR,1.0,0.0,0.0
1939,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,19.0,0.0,0.0
1939,66001,RISARALDA,PEREIRA,AUTOMOTOR,1.0,0.0,0.0
1939,68001,SANTANDER,BUCARAMANGA,AUTOMOTOR,12.0,0.0,0.0
1939,68276,SANTANDER,FLORIDABLANCA,AUTOMOTOR,1.0,0.0,0.0
1939,76111,VALLE DEL CAUCA,GUADALAJARA DE BUGA,AUTOMOTOR,1.0,0.0,0.0
1939,76318,VALLE DEL CAUCA,GUACARI,AUTOMOTOR,1.0,0.0,0.0
1939,80780,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1940,00000,ANTIOQUIA,MEDELLIN,AUTOMOTOR,21.0,0.0,0.0
1940,05001,ANTIOQUIA,MEDELLIN,AUTOMOTOR,21.0,0.0,0.0
1940,05656,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,33.0,0.0,0.0
1940,13683,BOLIVAR,SANTA ROSA,AUTOMOTOR,1.0,0.0,0.0
1940,13836,BOLIVAR,TURBACO,AUTOMOTOR,1.0,0.0,0.0
1940,15693,BOYACA,SANTA ROSA DE VITERBO,AUTOMOTOR,1.0,0.0,0.0
1940,17001,CALDAS,MANIZALES,AUTOMOTOR,2.0,0.0,0.0
1940,17380,CALDAS,LA DORADA,AUTOMOTOR,1.0,0.0,0.0
1940,19807,CAUCA,TIMBIO,AUTOMOTOR,4.0,0.0,0.0
1940,25175,CUNDINAMARCA,CHIA,AUTOMOTOR,1.0,0.0,0.0
1940,25736,CUNDINAMARCA,SESQUILE,AUTOMOTOR,1.0,0.0,0.0
1940,41298,HUILA,GARZON,AUTOMOTOR,1.0,0.0,0.0
1940,47245,MAGDALENA,EL BANCO,AUTOMOTOR,1.0,0.0,0.0
1940,50010,ANTIOQUIA,MEDELLIN,AUTOMOTOR,21.0,0.0,0.0
1940,56560,ANTIOQUIA,SAN JERONIMO,AUTOMOTOR,33.0,0.0,0.0
1940,68001,SANTANDER,BUCARAMANGA,AUTOMOTOR,17.0,0.0,0.0
1940,68307,SANTANDER,GIRON,AUTOMOTOR,1.0,0.0,0.0
