DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD,TIPO_VEHICULO,AÑO,CODIGO_DANE_MUNICIPIO
CUNDINAMARCA,FACATATIVA,25269,CAMION,2010-01-07,1,AUTOMOTOR,2010,25269
BOGOTA,BOGOTA D.C. (CT),11001,MICROBUS,2010-01-07,1,AUTOMOTOR,2010,11001
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-07,1,AUTOMOTOR,2010,50010
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-07,1,AUTOMOTOR,2010,76001
SANTANDER,FLORIDABLANCA,68276,CAMION,2010-01-07,1,AUTOMOTOR,2010,68276
ANTIOQUIA,BELLO,50880,AUTOMOVIL,2010-01-07,1,AUTOMOTOR,2010,50880
CESAR,PELAYA,20550,CAMIONETA,2010-01-07,1,AUTOMOTOR,2010,20550
BOGOTA,BOGOTA D.C. (CT),11001,CAMPERO,2010-01-07,1,AUTOMOTOR,2010,11001
BOGOTA,BOGOTA D.C. (CT),11001,CAMION,2010-01-07,1,AUTOMOTOR,2010,11001
BOGOTA,BOGOTA D.C. (CT),11001,AUTOMOVIL,2010-01-07,1,AUTOMOTOR,2010,11001
HUILA,NEIVA (CT),41001,CAMPERO,2010-01-07,1,AUTOMOTOR,2010,41001
ANTIOQUIA,BELLO,50880,TAXI,2010-01-07,1,AUTOMOTOR,2010,50880
VALLE,EL CERRITO,76248,AUTOMOVIL,2010-01-07,1,AUTOMOTOR,2010,76248
CAUCA,POPAYAN (CT),19001,AUTOMOVIL,2010-01-07,1,AUTOMOTOR,2010,19001
ANTIOQUIA,ENVIGADO,52660,AUTOMOVIL,2010-01-07,1,AUTOMOTOR,2010,52660
CAQUETA,FLORENCIA (CT),18001,AUTOMOVIL,2010-01-07,1,AUTOMOTOR,2010,18001
NARINO,PASTO (CT),52001,CAMION,2010-01-07,1,AUTOMOTOR,2010,52001
BOLIVAR,MOMPOS,13468,CAMPERO,2010-01-07,1,AUTOMOTOR,2010,13468
TOLIMA,IBAGUE (CT),73001,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,73001
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,76001
ANTIOQUIA,BELLO,50880,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,50880
VALLE,ROLDANILLO,76622,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,76622
ATLANTICO,BARRANQUILLA (CT),80010,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,80010
META,GRANADA,50313,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,50313
SUCRE,SINCELEJO (CT),70001,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,70001
BOGOTA,BOGOTA D.C. (CT),11001,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,11001
QUINDIO,LA TEBAIDA,63401,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,63401
CAQUETA,FLORENCIA (CT),18001,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,18001
CESAR,CURUMANI,20228,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,20228
